SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
CCCN1C2=CC=CC=C2SC1=CC=CC=CC3=[N+](C4=CC=CC=C4S3)CCC.[I-],546.5,60.7,564,,30,0,4,0,2,True
C1=C(C2=NON=C2C(=C1)S(=O)(=O)N)F,217.18,107.0,317,-0.2,14,1,7,0,1,True
C1=C(C2=NON=C2C(=C1)F)[N+](=O)[O-],183.1,84.7,222,1.1,13,0,6,0,1,True
C1=C2C(=C3C=C(C(=O)C(=C3OC2=C(C(=C1Br)[O-])Br)Br)Br)C4=C(C(=C(C(=C4Cl)Cl)Cl)Cl)C(=O)[O-].[Na+].[Na+],829.6,89.5,936,,35,0,5,0,3,True
CCCC1=C(C(=O)ON1)/C=C/C=C/C=C\2/C(=NOC2=O)CCC,316.35,77.0,639,3.9,23,1,6,0,1,True
CCCCCN\1C2=CC=CC=C2O/C1=C\C=C\C3=[N+](C4=CC=CC=C4O3)CCCCC,417.6,29.5,554,8.0,31,0,3,1,1,True
CCN\1C2=CC=CC=C2S/C1=C\C3=CC=[N+](C4=CC=CC=C34)CC.[I-],460.4,32.4,463,,25,0,3,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Mg+2],536.8,76.2,1080,,41,0,4,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Ni+2],571.2,76.2,1080,,41,0,4,0,2,True
C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94.[Zn+2],577.9,76.2,1080,,41,0,4,0,2,True
CN(CCNC(=O)CI)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)CCNC(=O)CI)C=C3O2)C4=CC=CC=C4C(=O)[O-],780.4,114.0,1060,3.6,41,2,6,0,1,True
C1=C(C2=NON=C2C(=C1)S(=O)(=O)[O-])F.[NH4+],235.2,106.0,303,,15,1,7,0,2,True
